id,institutionCode,eventDate,year,recordedBy,goodQualityAccessURI,associatedSpecimenReference,draw,number_teeth,glands,tooth_spacing,leaf_length_mm,leaf_width_mm,leaf_tip_exceeded_by_teeth,leaf_type,sun,date,leafcuts,mm_conversion,imperial_fract,sampled,,
382617,SDSU,1963-06-30,1963,"Howe, D. F.",https://bisque.cyverse.org/image_service/image/00-QSEEo2h7X4R6bNuiXHHzQg/resize:1250/format:jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=382617,0,8;7,NA,"14,14,13;34,8,9",64,15,N,CAULINE,SHADE,10.06.2021,N,9.2,28/64,Y,,"Note: for mm_conversion, it takes x hand ruler mm ot equal one cm on the herbarium sheet. "
3219117,REED,1969-8-12,1969,V. Marttala,NA,NA,0,11;12,NA,"22,16,18;31,11,17",135,23,N,CAULINE,SHADE,10.06.2021,N,14.8,37/64,Y,,Note: for imperial fraction it takes 37/64 to equal 1 mm
3454995,COCC,1979-9-15,1979,Marjorie Ettinger,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,,
217263,OBI,2017-08-11,2017,Monika Richardson,https://api.idigbio.org/v2/media/5587c2c60bb1a5468f658b9db7886f38?size=webview,https://www.cch2.org/portal/collections/individual/index.php?occid=217263,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BIGGER SCREEN,,
382618,SDSU,1966-06-06,1966,"Howe, D. F.",https://bisque.cyverse.org/image_service/image/00-Rv4qvDGpQtFj9CaSvz6FMg/resize:1250/format:jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=382618,0,7;7,NA,"50,27,33;35,25,26",154,41,N,CAULINE,SHADE,10.06.2021,Y,34.8,88/64,Y,,
2150895,CHSC,2013-04-25,2013,Lowell Ahart,https://bisque.cyverse.org/image_service/image/00-T8oVbQC5HxhNjKY24MPVMR/resize:1250/format:jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=2150895,0,11;13,NA,"48,36,34;32,24,18",209,39,N,CAULINE,SHADE,10.06.2021,Y,33.9,86/64,Y,,
1894573,UCSB,1962-06-07,1962,Dennis E. Breedlove,https://api.idigbio.org/v2/media/38572fdbfe643d35c168bf7d1c24f650?size=webview,https://www.cch2.org/portal/collections/individual/index.php?occid=1894573,0,8;9,NA,"63,31,27;37,48,33",226,35,N,CAULINE,SHADE,10.06.2021,N,31,75/64,Y,,
252177,LOB,1968-10-19,1968,P.C. Baker,https://api.idigbio.org/v2/media/e9d2e7a63ae176b4cf2ca3aa618c4965?size=webview,https://www.cch2.org/portal/collections/individual/index.php?occid=252177,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,BIGGER SCREEN,,
1894563,UCSB,1994-05-25,1994,"Parikh, Anuja.",https://api.idigbio.org/v2/media/7ee4063ab87ee448ce413ea81eb1d936?size=webview,https://www.cch2.org/portal/collections/individual/index.php?occid=1894563,0,13;13,NA,"44,47,33;35,48,53",301,53,N,CAULINE,SHADE,10.06.2021,N,30,75/64,Y,,
195682,OBI,2013-08-19,2013,David J. Keil,https://api.idigbio.org/v2/media/21916d465631f4babb2445bdd93b4e9d?size=webview,https://www.cch2.org/portal/collections/individual/index.php?occid=195682,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BIGGER SCREEN,,
