coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
195682,https://api.idigbio.org/v2/media/21916d465631f4babb2445bdd93b4e9d,https://api.idigbio.org/v2/media/21916d465631f4babb2445bdd93b4e9d,https://api.idigbio.org/v2/media/21916d465631f4babb2445bdd93b4e9d?size=thumbnail,https://api.idigbio.org/v2/media/21916d465631f4babb2445bdd93b4e9d?size=webview,,"OBI - Robert F. Hoover Herbarium, Cal Poly State University (OBI)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:23e7cb1c-c1c4-492d-8bbc-48bc0dc2a079,"2019-05-15 07:31:55",image/jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=195682,StillImage,Photograph,en
195871,https://api.idigbio.org/v2/media/d1186ec23aa2dd5be27a322562076fd5,https://api.idigbio.org/v2/media/d1186ec23aa2dd5be27a322562076fd5,https://api.idigbio.org/v2/media/d1186ec23aa2dd5be27a322562076fd5?size=thumbnail,https://api.idigbio.org/v2/media/d1186ec23aa2dd5be27a322562076fd5?size=webview,,"OBI - Robert F. Hoover Herbarium, Cal Poly State University (OBI)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:5ae93505-3a66-4f3e-864d-b11aad85e896,"2019-05-15 07:31:57",image/jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=195871,StillImage,Photograph,en
195872,https://api.idigbio.org/v2/media/2b558fcab21cf87a8775d702aea97cd8,https://api.idigbio.org/v2/media/2b558fcab21cf87a8775d702aea97cd8,https://api.idigbio.org/v2/media/2b558fcab21cf87a8775d702aea97cd8?size=thumbnail,https://api.idigbio.org/v2/media/2b558fcab21cf87a8775d702aea97cd8?size=webview,,"OBI - Robert F. Hoover Herbarium, Cal Poly State University (OBI)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:819b53f2-c115-4991-8315-2821b9831333,"2019-05-15 07:31:57",image/jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=195872,StillImage,Photograph,en
195873,https://api.idigbio.org/v2/media/c71af50a6054ee0d7f17b8d6c91e8e55,https://api.idigbio.org/v2/media/c71af50a6054ee0d7f17b8d6c91e8e55,https://api.idigbio.org/v2/media/c71af50a6054ee0d7f17b8d6c91e8e55?size=thumbnail,https://api.idigbio.org/v2/media/c71af50a6054ee0d7f17b8d6c91e8e55?size=webview,,"OBI - Robert F. Hoover Herbarium, Cal Poly State University (OBI)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:2ccea301-6752-4050-a024-e339917a7d47,"2019-05-15 07:31:54",image/jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=195873,StillImage,Photograph,en
195874,https://api.idigbio.org/v2/media/57c24e675a2c20ffc9c3ba24212c3678,https://api.idigbio.org/v2/media/57c24e675a2c20ffc9c3ba24212c3678,https://api.idigbio.org/v2/media/57c24e675a2c20ffc9c3ba24212c3678?size=thumbnail,https://api.idigbio.org/v2/media/57c24e675a2c20ffc9c3ba24212c3678?size=webview,,"OBI - Robert F. Hoover Herbarium, Cal Poly State University (OBI)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:1c10b5ce-d246-4d73-af82-274aed782799,"2019-05-15 07:31:56",image/jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=195874,StillImage,Photograph,en
195875,https://api.idigbio.org/v2/media/94cd5c4f89c2093d8997442bd3f5bea6,https://api.idigbio.org/v2/media/94cd5c4f89c2093d8997442bd3f5bea6,https://api.idigbio.org/v2/media/94cd5c4f89c2093d8997442bd3f5bea6?size=thumbnail,https://api.idigbio.org/v2/media/94cd5c4f89c2093d8997442bd3f5bea6?size=webview,,"OBI - Robert F. Hoover Herbarium, Cal Poly State University (OBI)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:ba2a4f74-72b3-49c4-afd7-de564ce122ed,"2019-05-15 07:31:54",image/jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=195875,StillImage,Photograph,en
195876,https://api.idigbio.org/v2/media/ef3cd80793a2e50982bdf886f10d409d,https://api.idigbio.org/v2/media/ef3cd80793a2e50982bdf886f10d409d,https://api.idigbio.org/v2/media/ef3cd80793a2e50982bdf886f10d409d?size=thumbnail,https://api.idigbio.org/v2/media/ef3cd80793a2e50982bdf886f10d409d?size=webview,,"OBI - Robert F. Hoover Herbarium, Cal Poly State University (OBI)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:3441bc39-a921-46b7-999b-2ad049e4643e,"2019-05-15 07:31:55",image/jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=195876,StillImage,Photograph,en
195877,https://api.idigbio.org/v2/media/5c4e95f4f6010c58b4818ef6afafc720,https://api.idigbio.org/v2/media/5c4e95f4f6010c58b4818ef6afafc720,https://api.idigbio.org/v2/media/5c4e95f4f6010c58b4818ef6afafc720?size=thumbnail,https://api.idigbio.org/v2/media/5c4e95f4f6010c58b4818ef6afafc720?size=webview,,"OBI - Robert F. Hoover Herbarium, Cal Poly State University (OBI)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:dc35b8fc-bff2-439f-aef7-c864cd1c66e2,"2019-05-15 07:31:54",image/jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=195877,StillImage,Photograph,en
195878,https://api.idigbio.org/v2/media/14427bd63a5acc1769766f00f94a71a9,https://api.idigbio.org/v2/media/14427bd63a5acc1769766f00f94a71a9,https://api.idigbio.org/v2/media/14427bd63a5acc1769766f00f94a71a9?size=thumbnail,https://api.idigbio.org/v2/media/14427bd63a5acc1769766f00f94a71a9?size=webview,,"OBI - Robert F. Hoover Herbarium, Cal Poly State University (OBI)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:ae0c32f6-c591-42e6-873b-7cb22938cb00,"2019-05-15 07:31:54",image/jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=195878,StillImage,Photograph,en
195879,https://api.idigbio.org/v2/media/d0847e40ac29b30568dfaaf10da79521,https://api.idigbio.org/v2/media/d0847e40ac29b30568dfaaf10da79521,https://api.idigbio.org/v2/media/d0847e40ac29b30568dfaaf10da79521?size=thumbnail,https://api.idigbio.org/v2/media/d0847e40ac29b30568dfaaf10da79521?size=webview,,"OBI - Robert F. Hoover Herbarium, Cal Poly State University (OBI)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:8f30d4fd-3eac-4485-9ae8-c1bf49139920,"2019-05-15 07:31:55",image/jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=195879,StillImage,Photograph,en
