id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
195682,OBI,,,PreservedSpecimen,e7e4e638-2f22-48b4-9a96-290bccd46b5d,OBI123644,79084,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Myricaceae|Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,"Morella californica",26254,"(Cham.) Wilbur",Morella,,californica,,,Species,,,,,,,,"David J. Keil",,31895,2013-08-19,2013,8,19,231,,19-Aug-13,"In vicinity of coordinates","Area of ancient stabilized dunes vegetated by coastal dune scrub/chaparral and coastal live oak woodland, bordered to north by fringe of riparian woodland and freshwater marsh grading into coastal salt marsh of Los Osos Creek estuary; Common with Salix lasiolepis in riparian areas",,"Large shrub to small tree",,,,,,,,,,,,,,,,"United States",California,"San Luis Obispo",,"Morro Bay State Park portion of El Morro Elfin Forest, Los Osos",,0,,35.336226,-120.826805,,,,,,,,,5,,,,,,,,"Kate Vanderslice","2014-10-03 00:00:00",,12,urn:uuid:0d8fb0fe-8d0e-4af9-b26a-86c669d48200,https://www.cch2.org/portal/collections/individual/index.php?occid=195682
195871,OBI,,,PreservedSpecimen,d14b6602-d4c4-44ee-ba4d-46c50a48a378,OBI123655,53538,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Myricaceae|Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,"Morella californica",26254,"(Cham.) Wilbur",Morella,,californica,,,Species,"David J. Keil",2011,,,,,,"Arthur W. Hazebrook",,117,1992-07-07,1992,7,7,189,,7-Jul-92,,"Found along E edge of Little Oso Flaco Lake area and NE base of the HIll. Shrubs partially buried and range from 1-1.5 m in height",,,,,,,,,,,,,,,,,,"United States",California,"San Luis Obispo",,"Nipomo Dunes Complex, Big Coreopsis HIll, Little Oso Flaco Lake and surrounding dunes",,0,,35.03,-120.6175,NAD83,2000,,"CalPoly D",,"Terrain Nav. v. 8.7 (copied from SBBG25525)",,"georef from old CCH cumulative file",,,,,,,,,preprocessed,"2011-12-09 00:00:00",,12,urn:uuid:4188f9cd-da71-4a8c-a293-1895e2e355bc,https://www.cch2.org/portal/collections/individual/index.php?occid=195871
195872,OBI,,,PreservedSpecimen,294e989f-eeb3-4980-8a12-e43234129350,OBI123654,37713,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Myricaceae|Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,"Morella californica",26254,"(Cham.) Wilbur",Morella,,californica,,,Species,"David J. Keil",2011,,,,,,"David J. Keil",,13699,1980-03-01,1980,3,1,61,,1-Mar-80,,"Coastal dune field heavily disturbed by off-road vehicular traffic. Lake bordered by ring of Salix and inner ring of Scirpus californicus; Locally common at some dune slack sites. At Maidenform Flat forming a pygmy forest with litter-covered soil but no understory",,,,,,,,,,,,,,,,,,"United States",California,"San Luis Obispo",,"Nipomo Dunes in vicinity of Oso Flaco Lake",,0,,35.03,-120.6175,NAD83,2000,,"CalPoly D",,"Terrain Nav. v. 8.7 (copied from SBBG25525)",,"georef from old CCH cumulative file",,,,,,,,,preprocessed,"2011-12-09 00:00:00",,12,urn:uuid:22d1fd48-ac80-4c0f-9896-f5293adb72d6,https://www.cch2.org/portal/collections/individual/index.php?occid=195872
195873,OBI,,,PreservedSpecimen,2ee64c3b-cc42-4c85-ac93-e18a7011b8d4,OBI123649,33433,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Myricaceae|Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,"Morella californica",26254,"(Cham.) Wilbur",Morella,,californica,,,Species,"Morella californica, David J. Keil, 2011",,,,,,,"David J. Keil",,13952,1980-05-03,1980,5,3,124,,3-May-80,,"Large freshwater marsh bordered by coastal scrub and riparian woodland; Common shrub in riparian zone",,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",,"Ca. 2 mi N of Vandenberg AFB main base area along Casmalia rd",,0,,34.78,-120.551,NAD83,400,,"Santa Barbara Botanic Garden A",,"Terrain Nav. v. 8.7 (copied from OBI33435)",,"georef from 2006-2015 archive backup file; Date Georeferenced: Mon Mar 3 16:00:25 2014",,,,,,,,,preprocessed,"2011-12-09 00:00:00",,12,urn:uuid:ad6c75d2-e3fe-449e-8d42-9c6489891b66,https://www.cch2.org/portal/collections/individual/index.php?occid=195873
195874,OBI,,,PreservedSpecimen,949180b8-77da-4352-9d42-fb7f7d76dba3,OBI123657,26004,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Myricaceae|Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,"Morella californica",26254,"(Cham.) Wilbur",Morella,,californica,,,Species,"Morella californica, David J. Keil, 2011",,,,,,,"David J. Keil",,14612,1981-05-16,1981,5,16,136,,16-May-81,,"Coastal hills and valleys. N facing and W facing slopes swept by strong coastal winds. Some E facing slopes and ravines shelteredfrom wind. woody vegetation on windward slopes severely wind-pruned. Growing on face of seep on roadcut above hwy",,,,,,,,,,,,,,,,,,"United States",California,"San Luis Obispo",,"Area around Arroyo de la Cruz near its crossing of Calif hwy 1",,0,,35.708335,-121.304,WGS84,200,,"CalPoly A",,GEOLocate,,"georef from 2006-2015 archive backup file; Date Georeferenced: Tue Jun 30 17:33:26 2015",,,,,,,,,preprocessed,"2011-12-09 00:00:00",,12,urn:uuid:c8289cad-25c0-4ac9-8726-1f7fd3d9cc7f,https://www.cch2.org/portal/collections/individual/index.php?occid=195874
195875,OBI,,,PreservedSpecimen,4dc33829-f369-4e48-ae91-918ced353c00,OBI123662,37810,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Myricaceae|Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,"Morella californica",26254,"(Cham.) Wilbur",Morella,,californica,,,Species,"Morella californica, David J. Keil, 2011",,,,,,,"David J. Keil",,17238,1983-06-30,1983,6,30,181,,30-Jun-83,,"Pygmy forest dominated by Pinus contorta var. contorta, and Cupressus pygmaea with undersotry of Myrica californica and various heaths; Abundant",,"To 3 m tall",,,,,,,,,,,,,,,,"United States",California,Mendocino,,"Ca. 0.3 mi E of hwy 1 along Fern Crk rd just S of Fort Bragg",,0,,39.36496,-123.80302,WGS84,200,,"Humboldt S.U. D",,"GoogleMaps via BerkeleyMapper (copied from OBI35887)",,"georef from 2006-2015 archive backup file; Date Georeferenced: Mon May 27 16:28:16 2013",,,,,,,,,preprocessed,"2011-12-09 00:00:00",,12,urn:uuid:7a945551-74ea-4d10-9b71-32d1deed600c,https://www.cch2.org/portal/collections/individual/index.php?occid=195875
195876,OBI,,,PreservedSpecimen,944d1213-7d6f-446a-a59f-4943a3a3d583,OBI123645,65491,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Myricaceae|Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,"Morella californica",26254,"(Cham.) Wilbur",Morella,,californica,,,Species,"Morella californica, David J. Keil, 2011",,,,,,,"David J. Keil",,22638,1991-10-26,1991,10,26,299,,26-Oct-91,,,,"Occasional shrub in riparian woodland.",,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",,"Vandenberg Air Force base, North base. Barka Slough, near eastern boundary of base along San Antonio Creek. Areas of freshwater marsh, riparian woodland, and salt-marsh meadow.; 34.771 -120.4674",,0,,34.771,-120.4674,NAD83,3500,,"Santa Barbara Botanic Garden A",,"Terrain Nav. v. 8.7 (copied from OBI67441)",,"georef from 2006-2015 archive backup file; Date Georeferenced: Thu Feb 20 16:54:23 2014",,,,,,,,,preprocessed,"2011-12-09 00:00:00",,12,urn:uuid:c03de4b8-ee8c-4ef8-9c4a-e881d3401e72,https://www.cch2.org/portal/collections/individual/index.php?occid=195876
195877,OBI,,,PreservedSpecimen,34bef0d6-ab87-4a7c-93f4-22e0967befb2,OBI123663,36941,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Myricaceae|Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,"Morella californica",26254,"(Cham.) Wilbur",Morella,,californica,,,Species,"David J. Keil",2011,,,,,,"Eric Wise",,1613,1982-07-02,1982,7,2,183,,2-Jul-82,,"Shore of destabilized sand",,,,,,,,,,,,,,,,,,"United States",California,"San Luis Obispo",,"Oso Flaco Lake",,0,,35.03,-120.6175,NAD83,2000,,"CalPoly D",,"Terrain Nav. v. 8.7 (copied from SBBG25525)",,"georef from old CCH cumulative file",,,,,,,,,preprocessed,"2011-12-09 00:00:00",,12,urn:uuid:5c90ee49-4dd7-4938-8ae3-8202afd93f0a,https://www.cch2.org/portal/collections/individual/index.php?occid=195877
195878,OBI,,,PreservedSpecimen,d2a89e4e-712b-4384-b165-b0639c18c4d4,OBI123648,52374,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Myricaceae|Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,"Morella californica",26254,"(Cham.) Wilbur",Morella,,californica,,,Species,"Morella californica, David J. Keil, 2011",,,,,,,"Julie Oxford","David J. Keil",208,1981-05-17,1981,5,17,137,,17-May-81,,"Freshwater marsh on W side of hwy. Coastal scrub on hillside on E side of road",,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",,"Vandenberg AFB. Along Lompoc-Casmalia rd N of San Antonio rd",,0,,34.7993,-120.5312,NAD83,1500,,"Santa Barbara Botanic Garden A",,"Terrain Nav. v. 8.7 USGS 1:24000 (copied from OBI52373)",,"georef from old CCH cumulative file",91,,,,,300ft.,,,preprocessed,"2011-12-09 00:00:00",,12,urn:uuid:24018ec3-3c39-4fea-b712-5926367683f1,https://www.cch2.org/portal/collections/individual/index.php?occid=195878
195879,OBI,,,PreservedSpecimen,d545af4b-e086-4dcb-bb3a-37c989192440,OBI123650,29119,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Fagales|Myricaceae|Morella,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,"Morella californica",26254,"(Cham.) Wilbur",Morella,,californica,,,Species,"Morella californica, David J. Keil, 2011",,,,,,,"Karen Symonds",,23,1982-07-17,1982,7,17,198,,17-Jul-82,,"Willow dominated riparian area; Wax-myrtle not common along the trail",,"Tree 4-10 m high",,,,,,,,,,,,,,,,"United States",California,"San Luis Obispo",,"Montana de Oro State Park, along coon Creek trail",,0,,35.25158,-120.87171,WGS84,1526,,"CalPoly B",,"GoogleMaps via BerkeleyMapper (copied from OBI29104)",,"georef from old CCH cumulative file",,,,,,,,,preprocessed,"2011-12-09 00:00:00",,12,urn:uuid:e67c379f-ffed-4122-b453-e84885d138f1,https://www.cch2.org/portal/collections/individual/index.php?occid=195879
